"text","label"
"@user bono... who cares. soon people will understand that they gain nothing from following a phony celebrity. become a leader of your people instead or help and support your fellow countrymen.","0"
"@user eight years the republicans denied obama?s picks. breitbarters outrage is as phony as their fake president.","1"
"@user get him some line help. he is gonna be just fine. as the game went on you could see him progressing more with his reads. he brought what has been missing. the deep ball presence. now he just needs a little more time","0"
"@user @user she is great. hi fiona!","0"
"@user she has become a parody unto herself? she has certainly taken some heat for being such an....well idiot. could be optic too  who know with liberals  they're all optics.  no substance","1"
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user this is the vetsresistsquadron"""" is bullshit.. they are girl scout veterans, i have never met any other veterans or served with anyone that was a gun control advocate? have you?""""","0"
"@user your looking more like a plant #maga #walkaway","1"
"@user @user lol. except he?s the most successful president in our lifetimes. he?s undone most of the damage obummer did and set america on the right path again. #maga","0"
"@user been a willie fan since before most of you were born....love that he is holding a rally with beto.... exactly which fans are furious?  could you give some specifics?","0"
"@user here's a link to my channel with a plethora of topics to peruse:","0"
"@user antifa would burn a conservatives house down and cnn would be there lighting the torches &amp; throwing gas on the flames.","1"
"@user they cite jones being banned for violating twitter's tos. there are blue checkmarks spewing the same, if not worse, kind of shit. if you are going to play the anyone can get banned"""" card. shouldn't these people also receive bans and suspensions? #verifiedhate""""","1"
"@user friend ordered 100 pair of levi?s and then called to cancel! over gun control! wow getting wild!","0"
"@user @user lmfaoooooo","0"
"@user goodell should have been fired over a year ago. looks like the owners will let him steer the ship right into the iceberg. oh well.","0"
"@user @user this is a common message from liberals and democrats.   remember nancy pelosi we have to approve the health care package -obama care and then we?ll see what?s in it afterwards??","0"
"@user also shitbiscuit stole most of the tempe girls u can't blame that on me..","1"
"@user @user well, see, if i start talking at dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore"""" as she did @user then we aren't having a conversation. i'm just talking into the void.""""","1"
"@user @user you mean the way hillary re-victimized all of bills accusers?","0"
"great comedy there cnn - news?  not so much!  #maga!  #licensereporters!","0"
"@user you are so fragile. it must be hard to live that way.","0"
"@user all you do is lie. all congress does us lie.  maga.","1"
"@user freudian slip.","0"
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user he also clarified that there is the water birth when we are physically born. then there is the spiritual birth which is obviously when we spiritually die to our sinful flesh and be reborn sinless after being cleansed by his blood at salvation when our sin debt is paid! praise god","1"
"@user @user why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  seems like someone is just a propaganda pusher...or likes gloating to other #maga's that they got screwed by trump.","1"
"@user we had leveon bell. thats the dumbest argument. but we can compare college for when he played. his best season was 1700 yds 26 tds. how about collins? and this is conners first year starting and he is starting much better than collins","1"
"@user @user she is a fucking mess!! i hate her so much","1"
"@user he is so underrated and i love how pure he is as a person","0"
"@user haha we set then ??","0"
"@user he is a psychic ain?t he","0"
"@user i was think she jisoo but i?m focused i found she is taeyoun","1"
"@user i am stunned that you are giving this guy airtime. stunned.","0"
"@user she wants gun control? figures","0"
"@user @user @user didn't see him matching with antifa tbh","0"
"@user @user @user and conservatives are no longer conservatives why do you think maxime bernier has started a new party that will follow original conservative values.","0"
"@user holy shit i love her???","1"
"@user @user @user can you let him know?","0"
"@user @user @user @user @user @user sir it comes to something when you present a lie as a fact.... have you no shame? this is the fact 65% of labour voters voted to remain. ref yougov polls. your position is based on a false premise......have a nice day","0"
"@user @user a stark reminder that @user and you are trying to con us with chequers and a bit of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user","0"
"@user @user where's holier than thou @user  sippin wine in the shade somewhere...  #maga","0"
"@user i can?t cuz that nigga retarded smh","1"
"9 factory workers gunned down in iowa city with 20-gauge winchester pump-action shotgun. the nra blames gun control laws.","1"
"@user so the overwhelming liberals in the populated states can make policy for the rest of america with whom they have no clue about.  just because california has the biggest population does not mean the u.s. shares in their values.  get a clue hillary.","0"
"@user berkeley antifa do not agree with you","0"
"@user he is quite good at faking. must have done it numerous times","1"
"@user griexsevia","0"
"@user we do have a few outages reported in toronto.   here's a link to our outage map to see if you are in one of the defined spots - -sc","0"
"@user @user what new gun control laws would you like to see passed and what would they accomplish?","0"
"take take take #walkaway from the #idiot party! #maga","1"
"@user @user you are so correct the democratic party for slavery and pro-nazi gun control","1"
"@user good luck","0"
"@user @user @user she did it and she is alive is greatness of hinduism. you should try it with quran if you have guts.","0"
"@user hell ya","0"
"@user @user prove your claim or be exposed as the lying piece of shit you are.   meanwhile...","1"
"@user get shit poppin","1"
"@user she says no. you are now sad. she then realizes what you might actually mean. she slaps you. she says no. now you are sad and your face hurts.","1"
"@user patrick ass??","1"
"@user eric holder should've been in his 2nd yr at gitmo. what's the update on gitmo's expansion?  why is he still breathing in our freedom air?","0"
"@user all we ever hear from hillary is beeching &amp; moaning.  dang ! that witch never get tired of complaining!","1"
"@user buy one","0"
"@user come on cnn.  he literally introduced himself.  the guy is a public figure for gun control.  call him out!","1"
"@user @user i didn't know oprah winfrey knew how to play tennis. .. ??","0"
"@user yeah she is","0"
"@user @user @user she is a walking talking lie..  that?s why.","1"
"@user she is so cute ?","0"
"@user holder is responsible for selling guns to the mexican cartel. just another obama administration law breaker.","1"
"@user @user sounds to me like the pope needs counselled on confession.","0"
"@user better than what? truth? politicians have never been good at that. my america is better than flake.","1"
"@user @user that so many ?thoughtful conservatives? who rushed to kavanaugh?s defense didn?t consider  their own statements re: black teenagers tells you everything about how ?thoughtful? they truly are.","0"
"@user you couldn?t catch me letting some saggy whitey bitch talkin like this to me ?? bitch eat dirt","1"
".@user  joined the show to talk about how she is leading the fight against breast cancer at @user @user listen to the full interview:","0"
"@user you are becoming the court jester of the senate","1"
"@user tell that to him. he is very perfectionist. i don?t think we will change that ever ??","0"
"@user @user @user @user also there to help banks boost their balance sheets post crash. i'd imagine atleast 15% (maybe more) of current house prices are part of the bank bailout package.","0"
"@user he?s a da. someone educate him he?s in the south now","0"
"@user notice how everyone avoids this tweet ????  they might think you are referring to them. ????  but not me comrade. i stalk everyone. ????","0"
"@user i don't know if this cat even realizes what he is doing.","0"
"@user @user he is.","0"
"@user and you are a football fan too !","0"
"@user well he?s closer to lincoln than you are.","0"
"@user every one of them is more rank than she is. and she's pretty rank. so i guess they all outrank her...","0"
"@user well...?","0"
"@user and why report this garbage.  we don't give a crap.","1"
"@user @user @user says one of the thickest cultists on twitter. irony at its finest.","0"
"@user she is disgusting","1"
"@user eric holder is obama's straw man of corruption","1"
"@user and yes your presidency was one of the absolute worst. go back to that....no way.","0"
"@user @user @user you should take this picture down you destroyed one of my all time favorite comedian/actors @user","0"
"@user @user @user @user @user @user i saw her in denver last week. she is still traumatized. cohen owes her so much because of 'my life on the d list'.","0"
"@user america is better than swamp crud like you!","1"
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user thank you for adding me razor!  patriots- if you aren?t following my primary account @user - will you take a minute &amp; follow me? thanks &amp; maga????","0"
"@user the lies i keep hearing everyday sigh *inhales* im tired of you putting yourself down and if ppl dont see how beautiful my bestfriend is then its their problem you are beautiful ive seen it so its my place to tell you you are beautiful and i accept nothing less. if not more ??","1"
"@user he is very perceptive sweetie!","0"
"@user dear paul mcfartney-  you had us at beatles.  you lost us at president mad captain.  burn in hell-  jon.""""","1"
"@user you are also the king of taste","0"
"@user and everyone knows that kerry doesn't have a clue!  heard that from numerous anonymous"""" sources who also say he is not sane.  that's what the sources say.""""","0"
"@user @user i think she is a hypocrite and loyal to the evil gop. vote her out.","1"
"@user @user bill clinton enjoyed raping them while ted kennedy enjoyed killing them. but you are cool with that.","1"
"@user #conservatives #republicans are #traitors to #america","1"
"@user this liberal is pissed that anyone would give that disgusting pos an award for equality. and....f.u. for including all liberals in this bullshit decision by the hrc.","1"
