text,label
@user friend ordered 100 pair of leviâ€™s and then called to cancel! over gun control! wow getting wild!,0
@user she says no. you are now sad. she then realizes what you might actually mean. she slaps you. she says no. now you are sad and your face hurts.,1
@user @user @user says one of the thickest cultists on twitter. irony at its finest.,0
@user @user says social housing is good and in the same breath talks of climbing the ladder.   hypocrisy incarnate from a failed lying politician lining her party's pockets with tax money for real estate builders @user building their failure of lies,1
@user ok guys i think her claims are b.s. too but if you start threatening her you're no better than antifa,0
@user @user @user @user @user she can do a google search of protests by antifa but she already knows that. it's called being blind. i would never support a conservative protest where they beat people up and destroyed property,0
@user @user @user ğŸ‘wellğŸ‘saidğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘she gets more negative feedback than anyone ever!! because she is always defending her bad behavior! way to show her little girl how to act!ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,1
@user you said it. they're trying to prove that cheepika is goddess and everyone else has nothing to offer. it tells everything about how insecure they are as fans. now their target is alia because they know how good she is. alia being so good is threat to their so called goddess.,1
"...the book makes trump look good &amp; makes the so-called deep state"""" - 'particularly mueller - look like a pack of partisan hacks.'  woodward book proves 1 thing, liberals fear trump isn&amp;#8217;t breaking, the deep state is",0
spoke with a woman in croatia today.   she said 80% of croatia loves @user !!   #maga,0
@user it's fine..... he's gods prophet ğŸ™„imagine that nowadays... yes officer i did fuck that elementary student but its fine bc god said i could....,0
@user he probably gets paid to say that...with $$ and assurances that he won't be called an islamophobe---pfffft it's a fake word--justin is an idiot and he is destroying canada one refugee at a time,1
@user @user the truth of it is that unless she has evidence than it's only allegations! if there is no proof than it is only 'what she says' against 'what he says'! she doesn't get marks for truthfulness just because she is a woman; because women can lie just as quickly as a man can!,0
@user @user only if soros says i can!,0
@user @user @user women + liberals.  nuff said.  kavanaugh to be confirmed next week regardless of these desperate games.  game over.  #maga,0
@user @user thatâ€™s so sad and terrifying; i know itâ€™s been dropped to a 2 but all the reports iâ€™ve seen says that doesnâ€™t mean shit for this storm. all you have to do is look at pictures of that thing to realize itâ€™s a fucking beast,1
@user @user @user trump is declassifying information and there is nothing you can do about it.  he is not the subject of an investigation.  the fbi and doj have repeatedly said as much.  go back to your quackery.,0
"@user my thoughts and prayers are with the families.  random mass shootings, which plague our nation, are not normal and we as a country can't allow them to be normalized,"""" craley said"""",   the truth is these mass shootings are becoming too """"normal"""".  gun control would certainly help.""""",1
@user ohhhhhh i cried big crocodile tears the first time my daddy called me a bitchğŸ˜‚ took it on the chin like a champ but ran to my room to cry just like a bitchğŸ’€,1
".@user   what say you now?  i guess it's âœŒï¸for liberals to use the so called white power"""" gesture.",0
@user @user @user @user @user he lost his virginity this process has been turned into a clown show protestors democrats paid for was unethical there hate shows in everyway trump denounced natzi group  and bad on both sides which is true but democrats refuse to denounce antifa a democratic domestic terror-,1
@user i never said that. i merely refuted the statement that they donâ€™t have a tight end. virgil green is a solid tight end when he is surrounded by the talent that the chargers have,0
@user state level crime when the alleged offender was a juvenile. silly liberals no crime committed by kavanaugh but probably one by the liar ford #democratsdividinganddestroyingamerica #democratshateamerica,1
@user did you hear that @user had a game taken away from her because she called an official a theif after he took a point and he only took a game away from her because she is a woman and he'd never have done that to a man? would love to hear your thoughts on this,0
@user yup fooled antifa threw big ol' fire pit rocks at mah truck called the cops said them commies dunnit neat lawyer trick huh,1
"@user i just said that very same thing. that christians"""" create a life/death for dr. ford or stormy daniels who tell their stories, but i don't see (not counting antifa) that happening from us to them. it's so weird.  not very christ-like of them, at the least of it, and so vile, etc""""",0
.@user molested me 35 yrs ago when i was 11yrs old. i didn't want to say it till now. she should thrown in jail. according to #liberals &amp; #metoo you have to accept my allegations blindly. there i said it #confirmjudgekavanaughnow #senatorfeinstein #democratshateamerica,1
@user how? you canâ€™t just say â€œwrongâ€ with no evidence for why it is. you said you agree with sargon iâ€™m pretty much every subject but gun control and healthcare. thatâ€™s not what a centrist believes.,1
@user iâ€™m very excited to buy more lol. the lady at the con all her manga was $6 and she told me some other cons sheâ€™s gonna be at so i wanna go to this one in chicago next year ğŸ˜‚,0
.@user itâ€™s sad and scary that the french so-called justice system is ordering @user le pen to undergo psych eval because she dared to reveal the horrors of daesh/isis. the true crazies are radical muslims and liberals who protect them.,0
@user we get shit transported from africa niggas told me they seen venomous snakes iguanas a beetle the size of a car tire lmaoooo ğŸ¤¦ğŸ¾â€â™‚ï¸ğŸ¤¦ğŸ¾â€â™‚ï¸ğŸ¤¦ğŸ¾â€â™‚ï¸ğŸ¤¦ğŸ¾â€â™‚ï¸ all kinds of shit,1
@user did you see what she said about travis on ellen?? thatâ€™s one hating ass bitch ğŸ˜­,1
@user political hit job. what a slap in the face to all the women that were really abused. you liberals know this is a hit. your leader @user told you to lie and do whatever you have to do to regain power. pathetic,1
@user @user @user @user @user @user @user @user @user you said that if my speech offends someone then i should be fined/jailed.  i asked if you should be fined if you wanting gun control offended me,1
@user @user simply to get the smear campaign going by the media. the democrats want a he said under oath while sheâ€™s supposed to get a pass on her she said lies. this woman is a fraud in cahoots with the liberals to delay &amp; divert until midterms.,1
"#hillary once said that if #trump wins, we all hang from nooses."""" the deeper this goes, the more we learn why #clinton freaked out when she realized #trump could win.  #conservatives #tcot #unmasking #releasethememo  #susanrice #fbi #deepstate #mueller""""",0
"@user yes, watching an elitist prima donna toss a tantrum on the court when she is called out &amp; penalized for ('cheating') getting coaching is pretty entertaining! her coach even admitted, i was coaching her."""" now, back to our regularly scheduled sanity, rule of law &amp; accountability!""""",0
@user @user civilians also   i'll admit its hard sometimes  when helping grok 24-7 lol   i've been called names i didn't even know existed  example   antifa grannies  brokeback valor (wth is that) grok girl friend (yep no shit)   things frauds will say   thank you grok (brother) ğŸ˜†ğŸ˜†ğŸ˜†,0
@user i bet she thinks you liberals abused here when you told her it was just an op ed not a photo shoot.,0
"@user it is poisonous indeed. no wonder she is called vesha bottle"""". the beauty in her eyes poisons every soul that stares into it.""""",0
"@user my husband is getting his phd in physics while i'm getting mine in chemistry. we usually get the wide-eyed recoil that clearly says, you are not normal humans, and i can have nothing in common with you."""" followed by the polite excuse to stop talking with us.""""",0
@user @user some of christine blasey ford fine upstanding americans she follows: beverly hills antifa laguna beach antifa neverland antifa midwest antifa boston bob antifa wait for it; anthony weiner - inmate# 3425742 @user kinda says it all! wwg1wga patriots...,0
@user @user @user @user q said to expand our thinking. this is what i came up with. i hope i put it in a graphic people can understand. #qanon #greatawakening #patriotsfight #wethepeople #unitedwestand #kag #maga #wakeup #walkaway #redoctober,0
@user maybe sheâ€™s just mad that you donâ€™t â€œattackâ€ her enough that she is getting as much work as she did at the height of her â€œvictimhoodâ€ period? i always told you that she only got that much work for that long was by parlaying victim points from your criticism into work offers.,0
@user yep.unfortuly he has proven what establishment supporters on du said about him.why in world did he support bernie.he is all in for trump which is why i have him blocked afte rpreviously following him ont witter and youtube.,0
"@user @user @user @user i don't know how they said they aren't gay tho."""" and """"and by liberals you mean conservatives."""" sounds like me being upset.  as for why it matters, if it doesn't matter then why go to such lengths to deny that they're gay? there's straight couples, why not just let them be gay?""""",1
"#politics #government liberals won't like this --&gt; @user says @user took a call from @user and talked about our plan."""" via @user",0
@user who said canada even wants him? we have enough entitled liberals here already,0
@user @user @user yes but it doesnt help with the made up stories about him. he shouldn't of called football players sob. but he is right about illegal immigration. we can't support the entire nation. rules needs to change.,1
@user chances are if you say â€œhey no need to call her a whoreâ€ youâ€™ll get called a libtard and blocked... but more conservatives need to stand up and call out vile behavior. difference between telling someone they canâ€™t say something and what was said was wrong.,0
@user he blocked me a long time ago after one response that called him out for lying.  he's an idiot who thinks his $hit don't stick and loves saying stupid stuff to get liberals to love him.  a complete douchebag.,1
"@user truly. he had that sly, self-deprecating humor and swagger. like you said, very american"""".""""",1
@user she is really good for him and told him how he needed to straighten up. i like her and i like them together. sometimes you just need someone who calls you out on your sh*t so you can become a better person ğŸ’–,0
@user morrow said he is shooting for the white sox series so he should be the closer. hopefully.,0
@user @user all the news outlets can continue to write stories about michael moore and what he says but iâ€™m one of the millions that donâ€™t really give a hoot about michael moore and what he says,0
(you are probably wondering why we was frontin about them. i forgot to add that my father told us that their grandparents were coming over to check on us. and they never did for the whole day but they decided to do it now. so we forgot) we ran as fast as we could to the house ğŸ˜‚,0
@user this is said by the woman whoâ€™s campigne sought dirt on trump. who lost by loosing states she could not or would not campaigne in. trump and his team found the weakness and exploited it. thatâ€™s being policallly smart donâ€™t you think? he is the amature here?,0
@user is internet banking down today. iâ€™ve tried logging on several times but it keeps telling me iâ€™ve either been logged off and gives me a number or it says you are experiencing technical difficulties...,0
@user @user @user you make no sense. â€œantifaâ€ is a cut-down word for anti-fascist. nazis are hitler fascists by definition. many so-called right-wingers tend to fascist views. trump does. just listen to him. the so-called left is far from fascist.,1
@user this is so fake heâ€™s unable to feel true feelings he even lies when he says anything and she is just as stupid in standing by a man who clearly doesnâ€™t respect the unity of marriage while he was with her and pay these women off stand up divorce like his other wifes did hes a pig,1
.@user @user says the uk doesn't diagnose cancer early enough. he hopes trials of special diagnostic centres will help in the future: #nhs70,0
@user @user she is from il and sayâ€™s she knows predators?  anyone else coming to mind?  buehler.....thatâ€™s called transference and is typical and expected.,0
"@user a little note for @user -the bible ( have you ever read that?) says that if the holy spirit is in us that we can fight off the devil. you lie and claim that you are holy (no human is holy by the way) so how dare you blame the devil? your new name is pope false prophet"""".""""",1
@user nope he is called shazam too,0
@user ahh yes we are cause some woman who comes out 30 some years later cant be believed.  where was this liberal outrage when the guy from minnesota was accused of beating his wife. silent on that one libs god you hypocritical liberals make me sick,1
"@user also she's thick as shit despite her posh brainy voice"""" on qt when the """"refugee"""" crisis was at it's peak,she said they should come in because there may be surgeons &amp; dentists amongst them.fecking leftie lunatic.#scruffbag""""",1
@user @user apparantly that rule of law doesn't apply to republicans/conservatives baselessly accused by dems,1
@user @user the dems have done this since they were the kkk. except back then they accused black men of raping white women then lynched them. same play from the old playbook. everyone of these liberals crying outrage are fake if they aren't pressuring ellison to resign.,1
@user @user so pretty yet so naive. great actress though. everything she said was not of american values and was against freedom of the american people. gun control doesnt work. just look at chicago.,0
all this talk about trump's dick allegedly looking like toad from #mariokart  this is the only thing that has been accomplished. only now the libs are picturing a 70 year old man naked.   #maga,1
@user as he said in exchange for a 14 day jail sentence and that's the max both sides could get.,0
@user @user you care about black men dying at the hands of racist cops? you care about the immigrants being kidnapped at the border? you care about the 3k puerto ricans that died? i figured you would bring up antifa. that says everything about you.,0
@user yea he is he said he would if tua was healthy,0
@user @user agreed. it's probably white people screaming how offensive she is too. i wish big brother wasn't forced by the twitter sjw army to remove her. we have all said offensive things when we were teenagers.,1
#politicslive #conservatives told us selling council  house deregulating rental housing market solutions would lead to more housing cheaper rents more home ownership now look at the homeless figures sky high rents lack of tennant rights profits #tories selling public land #labour,0
@user and he said in america. heads up antifa.   ur neck is about to be stepped on.,0
"29. @user listened to the liberals; democrats and their bed-buddies in the msm demand transparency"""" from the @user   well, your about to get a yuge scoop of """"transparency"""" from him. like i said in the start of this thread: be careful what you wish for.  ~end.",1
@user @user obama tried to cripple this nation! he lied and said he was a christian! when actually he is a radical muslim!,0
@user @user that's funny she says she is a mental health counselor yet has displayed the actions of a complete paranoid phycho!,0
@user itâ€™s said that artists who paint this way are showing how they truly see the world. well heâ€™s showing how him and all liberals see the world.,0
#democrats and #liberals donâ€™t give a damn about @user allegedly committing physical violence on his ex-girlfriend but they all rush to discredit kavanaugh for a 35 year old â€œvagueâ€ 11th hour accusation. #walkaway #hypocrites,1
"@user @user it says he is a political revolutionary for hire"""" but i'm not seeing anything revolutionary in his think. maybe he meant revolting.""""",0
"@user @user liberals love to hype the crouton as a financial genius, but much of his success"""" was due to downloading costs to the prov, raiding the ei surplus, etc. that said, you use the tools you have in the box, and i give him props as a decent steward of the public purse.""""",0
@user @user absolutely no egos.  jericho could have told vince to f off he is not getting stunned but not only did he do it he sold it as well.  all the big guys took it on the chin when they had too thatâ€™s what made it the good old days,0
@user credibly accused is a antifa mob dog whistle. we heard and we are cocked and loaded.,0
@user you must be part of the new nazi party called antifa,0
#ironicnews: #conservatives who complain #liberals go #pantsonfire about #trumppocalypse am now #mad at #obama for something him not said.,0
lol     ted cruz thinks #texas voters are stupid.  says beto o'rourke will ban barbeque from the state of texas.  #resist   #maga    #ridiculous,1
"@user @user so @user is a bjp leaning intellectual"""" but so called liberals are not congress leaning """"intellectual"""" and you are definitely not congress karyakarta....""""",0
"... the liberal's ... tendency to deal with opponents by epithet rather than argument, and ... worst of all ... the liberals have left themselves open to the cruel joke that says they love humanity but hate people."""" -- richard cornuelle, reclaiming the american dream (1965), 9.""""",0
"@user @user @user except it's not a government entitlement program"""".  for somebody who claims to """"troll liberals with facts and logic"""", you sure are using a lot of hyperbole and an appeal to emotion there.""""",0
@user @user sheâ€™s said before that she will always be praying for him even tho she canâ€™t do anything. iâ€™m sure she is heart broken as well at the events,0
@user radicalism? seriously? letâ€™s see your so called resist movement gave birth to antifa thugs who run around trying to sow chaos &amp; stifle free speech! @user has created a dialogue in this country that addresses the division and corruption already plaguing this country.,0
@user she said she is half eastern orthodox... so i dunno... an opportunity to educate myself,0
@user but antifa are only anti fascist (romney told me so) she wouldn't throw a brick at you unless you were a na... ğŸ˜§,1
@user keemstar said he is not paying he just wanted his sever on rust popin i said pay him or the ooks will come for you on rustğŸ˜‚,1
@user ...@user is 100% correct and should be applauded for criticizing our inept and corrupt president - not denounced for it.....@user @user @user @user @user @user @user @user @user @user @user @user,1
@user crazy people don't care what they use. i suppose you leftist who says to bad it wasn't a gun. sounds like you're disappointed he didn't. that way you can scream gun control.,1
4. but i have to called an hotel to send a shuttle to come pick my mother who is sitting at @user terminal at the airport with their agents.  5. i reminded them that she is a wheelchair passenger who cannot speak english. how will the hotel find her?,0
@user @user @user haha you liberals are so desperate itâ€™s hilarious. trying at all ends to set him up. this bs last minute stalling tactic about the alleged hs incident and the bait of emails that were sent to him. and people wonder how trump won? because theyâ€™re tired of democrats and their crap.,1
